elapsed_sec,policy_version,last_batch_reward_mean,rolling_reward_mean,last_batch_steps,last_batch_trajectories
0.00,,,,,
1.01,2,22.421875,20.72734375,2998,128
2.01,5,21.59375,21.03167890625,2892,128
3.02,8,21.25,21.019265797656256,2848,128
4.02,10,20.9140625,21.024224453991412,2805,128
5.04,13,20.7734375,20.724581501959744,2787,128
6.07,16,32.75,21.789489141587396,4320,128
7.10,18,29.6171875,23.538314329685793,3919,128
8.12,21,27.4609375,24.736204583840944,3643,128
9.13,23,29.234375,25.687185087911168,3870,128
10.15,26,30.75,26.961965741587242,4064,128
11.16,28,31.0078125,27.82208287568567,4097,128
12.16,30,32.6953125,28.978621504305394,4313,128
13.21,32,34.4609375,30.00619904348737,4539,128
14.25,34,33.71875,31.183380600224773,4444,128
15.28,37,37.1796875,32.55553602006386,4887,128
16.28,39,34.5078125,32.79428105125172,4545,128
17.28,41,38.7265625,34.1028207765139,5085,128
18.29,43,43.5,35.675237953976264,5696,128
19.29,45,41.640625,36.857880242720775,5458,128
20.30,47,44.0234375,38.056914246603824,5763,128
21.30,49,43.328125,39.1821942897491,5674,128
22.30,51,43.7734375,39.50468674969677,5731,128
23.31,53,44.25,40.40981189225438,5792,128
24.31,54,52.0625,41.575080703028945,6792,128
25.36,56,42.953125,42.53511224445345,5626,128
26.39,58,49.5546875,43.6283627930073,6471,128
27.43,60,47.9921875,44.63397386233592,6271,128
28.47,62,46.53125,45.353753203492104,6084,128
29.51,64,51.703125,46.28521196982861,6746,128
30.52,66,47.609375,46.24500607056117,6222,128
31.52,67,52.7265625,46.89316171350505,6877,128
32.56,69,48.8203125,47.164398487939096,6377,128
33.63,71,47.609375,47.76925652523066,6222,128
34.66,73,51.546875,48.63747278543684,6726,128
35.71,75,53.2109375,49.99439983120384,6939,128
36.72,76,53.8203125,50.376991098083465,7017,128
37.75,78,51.6953125,50.99098778944761,6745,128
38.77,80,54.109375,51.39434073445257,7054,128
39.78,81,55.6640625,51.82131291100731,7253,128
40.82,83,56.1484375,53.03862283291592,7315,128
41.86,85,54.40625,53.2028469946619,7092,128
42.90,87,58.9375,54.39930606567614,7672,128
43.91,88,60.578125,55.017187959108526,7882,128
44.93,90,59.8671875,56.43368787187791,7791,128
45.94,91,59.6953125,56.75985033469012,7769,128
46.97,93,69.1171875,58.367353771099,8975,128
47.98,94,70.3359375,59.5642121439891,9131,128
49.02,96,57.984375,60.16263683663117,7550,128
50.08,97,73.2734375,61.47371690296805,9507,128
51.12,99,77.8046875,63.66042944140413,10087,128
52.13,100,77.9765625,65.09204274726372,10109,128
53.18,102,68.2421875,65.85580462528361,8863,128
54.18,103,70.90625,66.36084916275524,9204,128
55.22,104,72.9453125,67.01929549647973,9465,128
56.28,106,81.359375,69.17578560214858,10542,128
57.29,107,79.203125,70.17851954193372,10266,128
58.34,108,88.359375,71.99660508774036,11438,128
59.37,109,78.75,72.67194457896633,10208,128
60.41,111,86.5390625,74.39825948396273,11205,128
61.41,112,98.2265625,76.78108978556645,12701,128
62.41,113,87.671875,77.87016830700982,11350,128
63.48,114,96.0703125,79.69018272630885,12425,128
64.50,115,83.25,80.04616445367797,10784,128
65.53,116,90.71875,81.11342300831018,11740,128
